Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/06/14,walking,walking,2014-06-10T18:41:21+01:00,2014-06-10T18:45:09+01:00,228,0.176,236,21
10/06/14,transport,transport,2014-06-10T18:45:08+01:00,2014-06-10T19:16:24+01:00,1876,11.361,0,0
10/06/14,walking,walking,2014-06-10T19:16:23+01:00,2014-06-10T19:18:48+01:00,145,0.077,221,9
10/06/14,walking,walking,2014-06-10T19:19:13+01:00,2014-06-10T19:19:43+01:00,30,0.013,42,2
10/06/14,walking,walking,2014-06-10T19:20:51+01:00,2014-06-10T19:39:18+01:00,1107,0.915,1620,109
10/06/14,walking,walking,2014-06-10T19:39:18+01:00,2014-06-10T19:39:51+01:00,33,0.018,57,2
11/06/14,walking,walking,2014-06-11T18:56:49+01:00,2014-06-11T18:56:57+01:00,8,0.003,10,0
13/06/14,walking,walking,2014-06-13T07:25:55+01:00,2014-06-13T07:27:42+01:00,107,0.044,142,5
13/06/14,walking,walking,2014-06-13T07:32:14+01:00,2014-06-13T07:35:05+01:00,171,0.153,312,18
13/06/14,transport,transport,2014-06-13T07:35:04+01:00,2014-06-13T07:39:34+01:00,270,0.707,0,0
13/06/14,walking,walking,2014-06-13T07:39:34+01:00,2014-06-13T07:44:04+01:00,270,0.164,387,19
13/06/14,transport,transport,2014-06-13T07:44:05+01:00,2014-06-13T08:15:16+01:00,1871,11.735,0,0
13/06/14,walking,walking,2014-06-13T08:15:15+01:00,2014-06-13T08:20:45+01:00,330,0.134,333,16
13/06/14,transport,transport,2014-06-13T08:20:46+01:00,2014-06-13T08:27:44+01:00,418,1.061,0,0
13/06/14,walking,walking,2014-06-13T08:27:44+01:00,2014-06-13T08:28:32+01:00,48,0.020,64,2
13/06/14,transport,transport,2014-06-13T08:36:44+01:00,2014-06-13T08:51:47+01:00,903,4.819,0,0
13/06/14,walking,walking,2014-06-13T08:51:47+01:00,2014-06-13T08:57:23+01:00,336,0.128,316,15
13/06/14,walking,walking,2014-06-13T08:57:24+01:00,2014-06-13T08:57:48+01:00,24,0.007,21,1
13/06/14,walking,walking,2014-06-13T10:10:15+01:00,2014-06-13T10:20:50+01:00,635,0.435,933,52
13/06/14,walking,walking,2014-06-13T10:37:45+01:00,2014-06-13T10:43:30+01:00,345,0.241,517,29
13/06/14,transport,transport,2014-06-13T10:53:47+01:00,2014-06-13T11:10:21+01:00,994,4.383,0,0
13/06/14,walking,walking,2014-06-13T11:10:20+01:00,2014-06-13T11:21:22+01:00,662,0.498,1176,59
13/06/14,walking,walking,2014-06-13T11:21:22+01:00,2014-06-13T11:22:00+01:00,38,0.017,53,2
13/06/14,walking,walking,2014-06-13T11:23:40+01:00,2014-06-13T11:28:49+01:00,309,0.185,385,22
